Datas,Pisa
2020/02/25,0
2020/02/26,0
2020/02/27,0
2020/02/28,0
2020/02/29,0
2020/03/01,0
2020/03/02,0
2020/03/03,0
2020/03/04,2
2020/03/05,3
2020/03/06,3
2020/03/07,3
2020/03/08,6
2020/03/09,3
2020/03/10,11
2020/03/11,3
2020/03/12,0
2020/03/13,17
2020/03/14,11
2020/03/15,9
2020/03/16,7
2020/03/17,23
2020/03/18,23
2020/03/19,22
2020/03/20,34
2020/03/21,31
2020/03/22,23
2020/03/23,32
2020/03/24,19
2020/03/25,32
2020/03/26,33
2020/03/27,0
2020/03/28,48
2020/03/29,34
2020/03/30,14
2020/03/31,25
2020/04/01,20
2020/04/02,24
2020/04/03,4
2020/04/04,8
2020/04/05,17
2020/04/06,16
2020/04/07,24
2020/04/08,8
2020/04/09,14
2020/04/10,7
2020/04/11,23
2020/04/12,41
2020/04/13,17
2020/04/14,33
2020/04/15,6
2020/04/16,17
2020/04/17,16
2020/04/18,8
2020/04/19,4
2020/04/20,26
2020/04/21,7
2020/04/22,7
2020/04/23,5
2020/04/24,1
2020/04/25,9
2020/04/26,3
2020/04/27,4
2020/04/28,4
2020/04/29,2
2020/04/30,1
2020/05/01,4
2020/05/02,5
2020/05/03,1
2020/05/04,1
2020/05/05,2
2020/05/06,2
2020/05/07,1
2020/05/08,2
2020/05/09,2
2020/05/10,0
2020/05/11,1
2020/05/12,0
2020/05/13,7
2020/05/14,1
2020/05/15,1
2020/05/16,0
2020/05/17,1
2020/05/18,2
2020/05/19,1
2020/05/20,2
2020/05/21,2
2020/05/22,0
2020/05/23,0
2020/05/24,1
2020/05/25,2
2020/05/26,0
2020/05/27,2
2020/05/28,1
2020/05/29,0
2020/05/30,1
2020/05/31,1
2020/06/01,0
2020/06/02,3
2020/06/03,0
2020/06/04,0
2020/06/05,0
2020/06/06,0
2020/06/07,0
2020/06/08,0
2020/06/09,0
2020/06/10,0
2020/06/11,1
2020/06/12,0
2020/06/13,0
2020/06/14,0
2020/06/15,0
2020/06/16,0
2020/06/17,0
2020/06/18,0
2020/06/19,2
2020/06/20,1
2020/06/21,0
2020/06/22,0
2020/06/23,0
2020/06/24,25
2020/06/25,0
2020/06/26,0
2020/06/27,3
2020/06/28,0
2020/06/29,2
2020/06/30,0
2020/07/01,0
2020/07/02,2
2020/07/03,0
2020/07/04,0
2020/07/05,0
