Datas,Pistoia
2020/02/25,1
2020/02/26,-1
2020/02/27,1
2020/02/28,0
2020/02/29,0
2020/03/01,0
2020/03/02,0
2020/03/03,0
2020/03/04,0
2020/03/05,0
2020/03/06,0
2020/03/07,5
2020/03/08,7
2020/03/09,3
2020/03/10,5
2020/03/11,11
2020/03/12,11
2020/03/13,5
2020/03/14,15
2020/03/15,16
2020/03/16,11
2020/03/17,10
2020/03/18,22
2020/03/19,23
2020/03/20,26
2020/03/21,10
2020/03/22,34
2020/03/23,14
2020/03/24,14
2020/03/25,11
2020/03/26,10
2020/03/27,0
2020/03/28,34
2020/03/29,11
2020/03/30,15
2020/03/31,8
2020/04/01,1
2020/04/02,13
2020/04/03,15
2020/04/04,13
2020/04/05,20
2020/04/06,6
2020/04/07,4
2020/04/08,46
2020/04/09,7
2020/04/10,11
2020/04/11,22
2020/04/12,16
2020/04/13,3
2020/04/14,4
2020/04/15,3
2020/04/16,20
2020/04/17,11
2020/04/18,7
2020/04/19,3
2020/04/20,11
2020/04/21,7
2020/04/22,8
2020/04/23,9
2020/04/24,6
2020/04/25,9
2020/04/26,8
2020/04/27,3
2020/04/28,3
2020/04/29,3
2020/04/30,6
2020/05/01,3
2020/05/02,7
2020/05/03,4
2020/05/04,3
2020/05/05,0
2020/05/06,0
2020/05/07,0
2020/05/08,1
2020/05/09,4
2020/05/10,0
2020/05/11,0
2020/05/12,0
2020/05/13,2
2020/05/14,1
2020/05/15,1
2020/05/16,5
2020/05/17,0
2020/05/18,0
2020/05/19,0
2020/05/20,2
2020/05/21,3
2020/05/22,3
2020/05/23,0
2020/05/24,2
2020/05/25,2
2020/05/26,0
2020/05/27,0
2020/05/28,1
2020/05/29,0
2020/05/30,1
2020/05/31,0
2020/06/01,0
2020/06/02,1
2020/06/03,0
2020/06/04,1
2020/06/05,0
2020/06/06,0
2020/06/07,0
2020/06/08,1
2020/06/09,0
2020/06/10,0
2020/06/11,0
2020/06/12,1
2020/06/13,0
2020/06/14,0
2020/06/15,1
2020/06/16,0
2020/06/17,0
2020/06/18,0
2020/06/19,0
2020/06/20,0
2020/06/21,0
2020/06/22,0
2020/06/23,1
2020/06/24,62
2020/06/25,0
2020/06/26,0
2020/06/27,4
2020/06/28,0
2020/06/29,0
2020/06/30,0
2020/07/01,0
2020/07/02,1
2020/07/03,0
2020/07/04,0
2020/07/05,0
2020/07/06,0
2020/07/07,0
2020/07/08,1
2020/07/09,0
2020/07/10,0
2020/07/11,0
2020/07/12,0
2020/07/13,0
2020/07/14,0
2020/07/15,0
2020/07/16,0
2020/07/17,0
2020/07/18,0
2020/07/19,0
2020/07/20,0
2020/07/21,0
2020/07/22,0
2020/07/23,1
2020/07/24,2
2020/07/25,2
2020/07/26,1
2020/07/27,0
