Datas,Ravenna
2020/02/25,0
2020/02/26,0
2020/02/27,0
2020/02/28,1
2020/02/29,0
2020/03/01,1
2020/03/02,0
2020/03/03,0
2020/03/04,0
2020/03/05,1
2020/03/06,5
2020/03/07,2
2020/03/08,3
2020/03/09,6
2020/03/10,5
2020/03/11,7
2020/03/12,10
2020/03/13,14
2020/03/14,23
2020/03/15,22
2020/03/16,14
2020/03/17,10
2020/03/18,29
2020/03/19,32
2020/03/20,28
2020/03/21,74
2020/03/22,22
2020/03/23,33
2020/03/24,26
2020/03/25,19
2020/03/26,64
2020/03/27,37
2020/03/28,33
2020/03/29,32
2020/03/30,15
2020/03/31,12
2020/04/01,25
2020/04/02,22
2020/04/03,29
2020/04/04,32
2020/04/05,20
2020/04/06,20
2020/04/07,10
2020/04/08,8
2020/04/09,5
2020/04/10,25
2020/04/11,13
2020/04/12,12
2020/04/13,26
2020/04/14,53
2020/04/15,9
2020/04/16,15
2020/04/17,6
2020/04/18,11
2020/04/19,5
2020/04/20,8
2020/04/21,3
2020/04/22,4
2020/04/23,15
2020/04/24,7
2020/04/25,6
2020/04/26,0
2020/04/27,1
2020/04/28,8
2020/04/29,3
2020/04/30,1
2020/05/01,0
2020/05/02,1
2020/05/03,3
2020/05/04,0
2020/05/05,0
2020/05/06,4
2020/05/07,3
2020/05/08,0
2020/05/09,2
2020/05/10,2
2020/05/11,2
2020/05/12,0
2020/05/13,0
2020/05/14,1
2020/05/15,5
2020/05/16,2
2020/05/17,5
2020/05/18,0
2020/05/19,3
2020/05/20,2
2020/05/21,1
2020/05/22,0
2020/05/23,0
2020/05/24,2
2020/05/25,0
2020/05/26,3
2020/05/27,0
2020/05/28,1
2020/05/29,2
2020/05/30,1
2020/05/31,1
2020/06/01,0
2020/06/02,0
2020/06/03,0
2020/06/04,0
2020/06/05,0
2020/06/06,0
2020/06/07,0
2020/06/08,2
2020/06/09,1
2020/06/10,0
2020/06/11,2
2020/06/12,1
2020/06/13,0
2020/06/14,1
2020/06/15,1
2020/06/16,0
2020/06/17,0
2020/06/18,0
2020/06/19,0
2020/06/20,2
2020/06/21,-1
2020/06/22,0
2020/06/23,0
2020/06/24,-16
2020/06/25,0
2020/06/26,-1
2020/06/27,8
2020/06/28,2
2020/06/29,0
2020/06/30,0
2020/07/01,1
2020/07/02,6
2020/07/03,-1
2020/07/04,18
