Datas,Reggio nell'Emilia
2020/02/25,0
2020/02/26,0
2020/02/27,0
2020/02/28,1
2020/02/29,3
2020/03/01,3
2020/03/02,1
2020/03/03,6
2020/03/04,6
2020/03/05,11
2020/03/06,13
2020/03/07,4
2020/03/08,22
2020/03/09,33
2020/03/10,1
2020/03/11,10
2020/03/12,9
2020/03/13,15
2020/03/14,15
2020/03/15,32
2020/03/16,56
2020/03/17,58
2020/03/18,115
2020/03/19,194
2020/03/20,165
2020/03/21,204
2020/03/22,190
2020/03/23,202
2020/03/24,68
2020/03/25,149
2020/03/26,112
2020/03/27,163
2020/03/28,135
2020/03/29,150
2020/03/30,62
2020/03/31,99
2020/04/01,246
2020/04/02,112
2020/04/03,135
2020/04/04,108
2020/04/05,158
2020/04/06,101
2020/04/07,48
2020/04/08,137
2020/04/09,153
2020/04/10,125
2020/04/11,135
2020/04/12,84
2020/04/13,39
2020/04/14,59
2020/04/15,35
2020/04/16,71
2020/04/17,37
2020/04/18,127
2020/04/19,101
2020/04/20,34
2020/04/21,17
2020/04/22,68
2020/04/23,45
2020/04/24,38
2020/04/25,32
2020/04/26,25
2020/04/27,8
2020/04/28,8
2020/04/29,20
2020/04/30,47
2020/05/01,53
2020/05/02,20
2020/05/03,32
2020/05/04,13
2020/05/05,10
2020/05/06,11
2020/05/07,13
2020/05/08,7
2020/05/09,16
2020/05/10,11
2020/05/11,3
2020/05/12,5
2020/05/13,5
2020/05/14,11
2020/05/15,9
2020/05/16,9
2020/05/17,3
2020/05/18,1
2020/05/19,8
2020/05/20,10
2020/05/21,4
2020/05/22,5
2020/05/23,3
2020/05/24,7
2020/05/25,0
2020/05/26,4
2020/05/27,1
2020/05/28,1
2020/05/29,10
2020/05/30,2
2020/05/31,1
2020/06/01,2
2020/06/02,2
2020/06/03,0
2020/06/04,4
2020/06/05,0
2020/06/06,1
2020/06/07,2
2020/06/08,3
2020/06/09,3
2020/06/10,1
2020/06/11,0
2020/06/12,0
2020/06/13,2
2020/06/14,2
2020/06/15,1
2020/06/16,1
2020/06/17,3
2020/06/18,2
2020/06/19,4
2020/06/20,3
2020/06/21,3
2020/06/22,4
2020/06/23,0
2020/06/24,-88
2020/06/25,3
2020/06/26,-21
2020/06/27,23
2020/06/28,0
2020/06/29,0
2020/06/30,5
2020/07/01,0
2020/07/02,1
2020/07/03,1
2020/07/04,2
