Datas,Rimini
2020/02/25,1
2020/02/26,2
2020/02/27,3
2020/02/28,3
2020/02/29,6
2020/03/01,1
2020/03/02,3
2020/03/03,5
2020/03/04,9
2020/03/05,35
2020/03/06,25
2020/03/07,11
2020/03/08,9
2020/03/09,51
2020/03/10,42
2020/03/11,39
2020/03/12,67
2020/03/13,51
2020/03/14,35
2020/03/15,27
2020/03/16,84
2020/03/17,0
2020/03/18,104
2020/03/19,78
2020/03/20,66
2020/03/21,69
2020/03/22,116
2020/03/23,93
2020/03/24,49
2020/03/25,52
2020/03/26,53
2020/03/27,75
2020/03/28,59
2020/03/29,34
2020/03/30,25
2020/03/31,25
2020/04/01,38
2020/04/02,11
2020/04/03,55
2020/04/04,12
2020/04/05,30
2020/04/06,22
2020/04/07,9
2020/04/08,12
2020/04/09,17
2020/04/10,38
2020/04/11,26
2020/04/12,29
2020/04/13,21
2020/04/14,13
2020/04/15,9
2020/04/16,25
2020/04/17,17
2020/04/18,14
2020/04/19,13
2020/04/20,28
2020/04/21,6
2020/04/22,22
2020/04/23,37
2020/04/24,16
2020/04/25,7
2020/04/26,3
2020/04/27,16
2020/04/28,20
2020/04/29,17
2020/04/30,15
2020/05/01,4
2020/05/02,13
2020/05/03,5
2020/05/04,9
2020/05/05,7
2020/05/06,1
2020/05/07,10
2020/05/08,2
2020/05/09,12
2020/05/10,1
2020/05/11,5
2020/05/12,3
2020/05/13,2
2020/05/14,4
2020/05/15,4
2020/05/16,5
2020/05/17,5
2020/05/18,1
2020/05/19,5
2020/05/20,4
2020/05/21,6
2020/05/22,9
2020/05/23,12
2020/05/24,0
2020/05/25,4
2020/05/26,4
2020/05/27,3
2020/05/28,5
2020/05/29,2
2020/05/30,2
2020/05/31,0
2020/06/01,0
2020/06/02,2
2020/06/03,0
2020/06/04,0
2020/06/05,2
2020/06/06,1
2020/06/07,1
2020/06/08,1
2020/06/09,3
2020/06/10,1
2020/06/11,2
2020/06/12,1
2020/06/13,0
2020/06/14,0
2020/06/15,0
2020/06/16,1
2020/06/17,1
2020/06/18,2
2020/06/19,2
2020/06/20,4
2020/06/21,1
2020/06/22,0
2020/06/23,-1
2020/06/24,-42
2020/06/25,1
2020/06/26,-4
2020/06/27,10
2020/06/28,3
2020/06/29,0
2020/06/30,1
2020/07/01,1
2020/07/02,1
2020/07/03,0
2020/07/04,1
2020/07/05,0
2020/07/06,2
2020/07/07,7
2020/07/08,7
2020/07/09,1
2020/07/10,1
2020/07/11,2
2020/07/12,2
2020/07/13,1
2020/07/14,1
2020/07/15,3
2020/07/16,0
2020/07/17,0
2020/07/18,1
2020/07/19,0
2020/07/20,3
2020/07/21,4
2020/07/22,10
2020/07/23,11
2020/07/24,8
2020/07/25,3
2020/07/26,5
2020/07/27,4
2020/07/28,9
2020/07/29,4
2020/07/30,6
2020/07/31,4
2020/08/01,2
2020/08/02,3
2020/08/03,2
2020/08/04,6
2020/08/05,6
2020/08/06,10
2020/08/07,3
2020/08/08,6
2020/08/09,2
2020/08/10,2
2020/08/11,1
2020/08/12,2
2020/08/13,1
2020/08/14,1
2020/08/15,2
2020/08/16,0
2020/08/17,0
2020/08/18,0
2020/08/19,3
2020/08/20,0
2020/08/21,5
2020/08/22,3
2020/08/23,4
2020/08/24,5
2020/08/25,1
2020/08/26,3
2020/08/27,16
2020/08/28,6
2020/08/29,9
2020/08/30,7
2020/08/31,3
2020/09/01,3
2020/09/02,3
2020/09/03,2
2020/09/04,5
2020/09/05,6
2020/09/06,3
2020/09/07,7
2020/09/08,6
2020/09/09,6
2020/09/10,3
2020/09/11,10
2020/09/12,9
2020/09/13,5
2020/09/14,7
2020/09/15,13
2020/09/16,5
2020/09/17,9
2020/09/18,2
2020/09/19,4
2020/09/20,1
2020/09/21,7
2020/09/22,0
2020/09/23,9
2020/09/24,4
2020/09/25,1
2020/09/26,2
2020/09/27,6
2020/09/28,2
2020/09/29,7
2020/09/30,4
2020/10/01,5
2020/10/02,15
2020/10/03,16
2020/10/04,36
2020/10/05,8
2020/10/06,25
2020/10/07,21
2020/10/08,16
2020/10/09,16
2020/10/10,38
2020/10/11,47
2020/10/12,32
2020/10/13,25
2020/10/14,50
2020/10/15,52
2020/10/16,56
2020/10/17,68
2020/10/18,31
2020/10/19,74
2020/10/20,25
2020/10/21,96
2020/10/22,91
2020/10/23,117
2020/10/24,102
2020/10/25,156
2020/10/26,108
2020/10/27,138
2020/10/28,110
2020/10/29,106
2020/10/30,157
2020/10/31,176
2020/11/01,68
2020/11/02,120
2020/11/03,124
2020/11/04,130
2020/11/05,151
2020/11/06,192
2020/11/07,65
2020/11/08,191
2020/11/09,135
2020/11/10,207
2020/11/11,146
2020/11/12,167
2020/11/13,156
2020/11/14,126
2020/11/15,216
2020/11/16,245
2020/11/17,198
2020/11/18,161
2020/11/19,165
2020/11/20,107
2020/11/21,243
2020/11/22,334
2020/11/23,259
2020/11/24,201
2020/11/25,268
2020/11/26,172
2020/11/27,104
2020/11/28,157
2020/11/29,177
2020/11/30,253
2020/12/01,118
2020/12/02,280
2020/12/03,195
2020/12/04,204
2020/12/05,147
2020/12/06,145
2020/12/07,178
2020/12/08,124
2020/12/09,67
2020/12/10,177
2020/12/11,83
2020/12/12,158
2020/12/13,204
2020/12/14,106
2020/12/15,101
2020/12/16,124
2020/12/17,166
2020/12/18,192
2020/12/19,160
2020/12/20,164
2020/12/21,133
2020/12/22,137
2020/12/23,130
2020/12/24,133
2020/12/25,233
2020/12/26,141
2020/12/27,203
2020/12/28,134
2020/12/29,90
2020/12/30,140
2020/12/31,252
2021/01/01,251
2021/01/02,60
2021/01/03,298
2021/01/04,212
2021/01/05,192
2021/01/06,120
2021/01/07,198
2021/01/08,230
2021/01/09,125
2021/01/10,244
2021/01/11,174
2021/01/12,221
2021/01/13,168
2021/01/14,124
2021/01/15,304
2021/01/16,174
2021/01/17,173
2021/01/18,88
2021/01/19,149
2021/01/20,189
2021/01/21,125
2021/01/22,92
2021/01/23,186
2021/01/24,152
2021/01/25,107
2021/01/26,146
2021/01/27,90
2021/01/28,160
2021/01/29,124
2021/01/30,166
2021/01/31,183
2021/02/01,91
2021/02/02,79
2021/02/03,141
2021/02/04,131
2021/02/05,180
2021/02/06,187
2021/02/07,176
2021/02/08,126
2021/02/09,113
2021/02/10,151
2021/02/11,156
2021/02/12,151
2021/02/13,146
2021/02/14,126
2021/02/15,99
2021/02/16,79
2021/02/17,141
2021/02/18,148
2021/02/19,151
2021/02/20,173
2021/02/21,131
2021/02/22,168
2021/02/23,96
2021/02/24,221
2021/02/25,287
2021/02/26,259
2021/02/27,236
2021/02/28,284
2021/03/01,172
2021/03/02,132
2021/03/03,234
2021/03/04,218
2021/03/05,278
2021/03/06,240
2021/03/07,270
2021/03/08,373
2021/03/09,171
2021/03/10,274
2021/03/11,217
2021/03/12,419
2021/03/13,257
2021/03/14,289
2021/03/15,331
2021/03/16,201
2021/03/17,259
2021/03/18,284
2021/03/19,304
2021/03/20,177
2021/03/21,186
2021/03/22,214
2021/03/23,90
2021/03/24,172
2021/03/25,262
2021/03/26,216
2021/03/27,193
2021/03/28,132
2021/03/29,213
2021/03/30,122
2021/03/31,130
2021/04/01,202
2021/04/02,96
2021/04/03,193
2021/04/04,104
2021/04/05,205
2021/04/06,21
2021/04/07,16
2021/04/08,119
2021/04/09,160
2021/04/10,90
2021/04/11,74
2021/04/12,129
2021/04/13,62
2021/04/14,91
2021/04/15,96
2021/04/16,110
2021/04/17,96
2021/04/18,75
