Datas,Roma
2020/02/25,3
2020/02/26,0
2020/02/27,0
2020/02/28,0
2020/02/29,3
2020/03/01,0
2020/03/02,1
2020/03/03,7
2020/03/04,15
2020/03/05,13
2020/03/06,7
2020/03/07,22
2020/03/08,6
2020/03/09,14
2020/03/10,-15
2020/03/11,23
2020/03/12,63
2020/03/13,56
2020/03/14,70
2020/03/15,66
2020/03/16,58
2020/03/17,74
2020/03/18,104
2020/03/19,88
2020/03/20,77
2020/03/21,138
2020/03/22,156
2020/03/23,122
2020/03/24,116
2020/03/25,141
2020/03/26,139
2020/03/27,136
2020/03/28,136
2020/03/29,106
2020/03/30,123
2020/03/31,118
2020/04/01,74
2020/04/02,133
2020/04/03,110
2020/04/04,117
2020/04/05,94
2020/04/06,55
2020/04/07,61
2020/04/08,80
2020/04/09,116
2020/04/10,88
2020/04/11,105
2020/04/12,96
2020/04/13,116
2020/04/14,129
2020/04/15,105
2020/04/16,102
2020/04/17,121
2020/04/18,130
2020/04/19,64
2020/04/20,51
2020/04/21,56
2020/04/22,68
2020/04/23,56
2020/04/24,48
2020/04/25,73
2020/04/26,67
2020/04/27,68
2020/04/28,73
2020/04/29,52
2020/04/30,62
2020/05/01,51
2020/05/02,56
2020/05/03,48
2020/05/04,37
2020/05/05,57
2020/05/06,75
2020/05/07,37
2020/05/08,47
2020/05/09,38
2020/05/10,27
2020/05/11,21
2020/05/12,16
2020/05/13,25
2020/05/14,17
2020/05/15,63
2020/05/16,26
2020/05/17,39
2020/05/18,30
2020/05/19,8
2020/05/20,20
2020/05/21,15
2020/05/22,25
2020/05/23,15
2020/05/24,16
2020/05/25,11
2020/05/26,15
2020/05/27,9
2020/05/28,14
2020/05/29,13
2020/05/30,5
2020/05/31,11
2020/06/01,6
2020/06/02,5
2020/06/03,10
2020/06/04,11
2020/06/05,9
2020/06/06,18
2020/06/07,17
2020/06/08,16
2020/06/09,19
2020/06/10,11
2020/06/11,16
2020/06/12,24
2020/06/13,25
2020/06/14,14
2020/06/15,3
2020/06/16,9
2020/06/17,10
2020/06/18,8
2020/06/19,8
2020/06/20,12
2020/06/21,9
2020/06/22,8
2020/06/23,6
2020/06/24,-107
2020/06/25,7
2020/06/26,13
2020/06/27,16
2020/06/28,14
2020/06/29,8
2020/06/30,4
2020/07/01,8
2020/07/02,6
2020/07/03,10
2020/07/04,29
2020/07/05,11
2020/07/06,15
2020/07/07,6
2020/07/08,7
2020/07/09,30
2020/07/10,21
2020/07/11,12
2020/07/12,19
2020/07/13,21
2020/07/14,18
2020/07/15,18
2020/07/16,6
2020/07/17,11
2020/07/18,19
2020/07/19,13
2020/07/20,15
2020/07/21,3
2020/07/22,13
2020/07/23,23
2020/07/24,12
2020/07/25,15
2020/07/26,17
2020/07/27,9
2020/07/28,9
2020/07/29,32
2020/07/30,16
2020/07/31,13
2020/08/01,12
2020/08/02,14
2020/08/03,12
2020/08/04,13
