Datas,Sassari
2020/02/25,0
2020/02/26,0
2020/02/27,0
2020/02/28,0
2020/02/29,0
2020/03/01,0
2020/03/02,0
2020/03/03,0
2020/03/04,0
2020/03/05,0
2020/03/06,0
2020/03/07,0
2020/03/08,0
2020/03/09,1
2020/03/10,0
2020/03/11,1
2020/03/12,2
2020/03/13,0
2020/03/14,2
2020/03/15,29
2020/03/16,22
2020/03/17,6
2020/03/18,11
2020/03/19,60
2020/03/20,82
2020/03/21,35
2020/03/22,2
2020/03/23,7
2020/03/24,49
2020/03/25,9
2020/03/26,13
2020/03/27,5
2020/03/28,71
2020/03/29,8
2020/03/30,39
2020/03/31,32
2020/04/01,11
2020/04/02,31
2020/04/03,19
2020/04/04,38
2020/04/05,16
2020/04/06,9
2020/04/07,10
2020/04/08,34
2020/04/09,35
2020/04/10,17
2020/04/11,18
2020/04/12,13
2020/04/13,8
2020/04/14,4
2020/04/15,14
2020/04/16,1
2020/04/17,10
2020/04/18,15
2020/04/19,7
2020/04/20,2
2020/04/21,0
2020/04/22,6
2020/04/23,6
2020/04/24,1
2020/04/25,11
2020/04/26,6
2020/04/27,1
2020/04/28,1
2020/04/29,3
2020/04/30,3
2020/05/01,12
2020/05/02,0
2020/05/03,0
2020/05/04,0
2020/05/05,0
2020/05/06,1
2020/05/07,5
2020/05/08,6
2020/05/09,3
2020/05/10,3
2020/05/11,0
2020/05/12,0
2020/05/13,0
2020/05/14,0
2020/05/15,3
2020/05/16,2
2020/05/17,0
2020/05/18,0
2020/05/19,0
2020/05/20,1
2020/05/21,0
2020/05/22,0
2020/05/23,-1
2020/05/24,0
2020/05/25,-1
2020/05/26,0
2020/05/27,0
2020/05/28,0
2020/05/29,0
2020/05/30,0
2020/05/31,0
2020/06/01,0
2020/06/02,0
2020/06/03,0
2020/06/04,0
2020/06/05,0
2020/06/06,2
2020/06/07,0
2020/06/08,0
2020/06/09,-1
2020/06/10,0
2020/06/11,3
2020/06/12,1
2020/06/13,0
2020/06/14,0
2020/06/15,0
2020/06/16,1
2020/06/17,0
2020/06/18,0
2020/06/19,0
2020/06/20,1
2020/06/21,0
2020/06/22,0
2020/06/23,-4
2020/06/24,0
2020/06/25,0
2020/06/26,0
2020/06/27,0
2020/06/28,0
2020/06/29,0
2020/06/30,2
2020/07/01,0
2020/07/02,0
2020/07/03,1
2020/07/04,0
