Datas,Savona
2020/02/25,1
2020/02/26,9
2020/02/27,8
2020/02/28,0
2020/02/29,23
2020/03/01,-22
2020/03/02,-3
2020/03/03,4
2020/03/04,-1
2020/03/05,1
2020/03/06,-5
2020/03/07,4
2020/03/08,6
2020/03/09,10
2020/03/10,3
2020/03/11,4
2020/03/12,10
2020/03/13,10
2020/03/14,25
2020/03/15,9
2020/03/16,0
2020/03/17,4
2020/03/18,26
2020/03/19,5
2020/03/20,31
2020/03/21,11
2020/03/22,2
2020/03/23,10
2020/03/24,19
2020/03/25,6
2020/03/26,-1
2020/03/27,14
2020/03/28,-4
2020/03/29,20
2020/03/30,10
2020/03/31,0
2020/04/01,2
2020/04/02,-6
2020/04/03,19
2020/04/04,-3
2020/04/05,473
2020/04/06,-39
2020/04/07,-186
2020/04/08,145
2020/04/09,2
2020/04/10,30
2020/04/11,85
2020/04/12,26
2020/04/13,0
2020/04/14,-100
2020/04/15,20
2020/04/16,32
2020/04/17,63
2020/04/18,0
2020/04/19,114
2020/04/20,11
2020/04/21,23
2020/04/22,37
2020/04/23,2
2020/04/24,54
2020/04/25,57
2020/04/26,13
2020/04/27,6
2020/04/28,39
2020/04/29,2
2020/04/30,34
2020/05/01,43
2020/05/02,11
2020/05/03,28
2020/05/04,3
2020/05/05,15
2020/05/06,21
2020/05/07,45
2020/05/08,13
2020/05/09,10
2020/05/10,17
2020/05/11,3
2020/05/12,30
2020/05/13,20
2020/05/14,8
2020/05/15,-1
2020/05/16,6
2020/05/17,9
2020/05/18,-1
2020/05/19,27
2020/05/20,3
2020/05/21,11
2020/05/22,8
2020/05/23,2
2020/05/24,4
2020/05/25,0
2020/05/26,6
2020/05/27,11
2020/05/28,4
2020/05/29,1
2020/05/30,3
2020/05/31,0
2020/06/01,0
2020/06/02,7
2020/06/03,2
2020/06/04,9
2020/06/05,2
2020/06/06,2
2020/06/07,0
2020/06/08,0
2020/06/09,2
2020/06/10,4
2020/06/11,-1
2020/06/12,0
2020/06/13,2
2020/06/14,0
2020/06/15,0
2020/06/16,-2
2020/06/17,0
2020/06/18,2
2020/06/19,2
2020/06/20,1
2020/06/21,2
2020/06/22,1
2020/06/23,1
2020/06/24,-57
2020/06/25,0
2020/06/26,1
2020/06/27,1
2020/06/28,0
2020/06/29,1
2020/06/30,0
2020/07/01,0
2020/07/02,0
2020/07/03,0
2020/07/04,0
2020/07/05,1
2020/07/06,1
2020/07/07,0
2020/07/08,1
2020/07/09,0
2020/07/10,1
2020/07/11,0
2020/07/12,0
2020/07/13,0
2020/07/14,0
2020/07/15,1
2020/07/16,3
2020/07/17,1
2020/07/18,12
2020/07/19,19
2020/07/20,10
2020/07/21,9
2020/07/22,6
2020/07/23,11
2020/07/24,2
2020/07/25,0
2020/07/26,3
2020/07/27,2
2020/07/28,0
2020/07/29,2
2020/07/30,4
2020/07/31,1
2020/08/01,0
2020/08/02,4
2020/08/03,0
2020/08/04,0
2020/08/05,2
2020/08/06,2
2020/08/07,2
2020/08/08,3
2020/08/09,1
2020/08/10,10
2020/08/11,3
2020/08/12,13
2020/08/13,31
2020/08/14,11
2020/08/15,6
2020/08/16,7
2020/08/17,7
2020/08/18,6
2020/08/19,12
2020/08/20,3
2020/08/21,5
2020/08/22,9
2020/08/23,2
2020/08/24,2
2020/08/25,0
2020/08/26,3
2020/08/27,2
2020/08/28,1
2020/08/29,5
2020/08/30,2
2020/08/31,1
2020/09/01,3
2020/09/02,1
2020/09/03,0
2020/09/04,2
2020/09/05,3
2020/09/06,5
