Datas,Sondrio
2020/02/25,1
2020/02/26,2
2020/02/27,0
2020/02/28,0
2020/02/29,0
2020/03/01,0
2020/03/02,0
2020/03/03,0
2020/03/04,1
2020/03/05,0
2020/03/06,0
2020/03/07,2
2020/03/08,0
2020/03/09,1
2020/03/10,0
2020/03/11,6
2020/03/12,10
2020/03/13,0
2020/03/14,22
2020/03/15,0
2020/03/16,1
2020/03/17,28
2020/03/18,1
2020/03/19,80
2020/03/20,8
2020/03/21,16
2020/03/22,26
2020/03/23,3
2020/03/24,45
2020/03/25,31
2020/03/26,41
2020/03/27,37
2020/03/28,26
2020/03/29,34
2020/03/30,24
2020/03/31,24
2020/04/01,14
2020/04/02,33
2020/04/03,20
2020/04/04,26
2020/04/05,28
2020/04/06,23
2020/04/07,6
2020/04/08,16
2020/04/09,18
2020/04/10,7
2020/04/11,23
2020/04/12,36
2020/04/13,76
2020/04/14,53
2020/04/15,10
2020/04/16,5
2020/04/17,2
2020/04/18,71
2020/04/19,19
2020/04/20,4
2020/04/21,6
2020/04/22,46
2020/04/23,44
2020/04/24,32
2020/04/25,42
2020/04/26,2
2020/04/27,0
2020/04/28,9
2020/04/29,2
2020/04/30,37
2020/05/01,1
2020/05/02,0
2020/05/03,0
2020/05/04,29
2020/05/05,13
2020/05/06,7
2020/05/07,36
2020/05/08,10
2020/05/09,4
2020/05/10,7
2020/05/11,1
2020/05/12,29
2020/05/13,4
2020/05/14,17
2020/05/15,1
2020/05/16,24
2020/05/17,4
2020/05/18,2
2020/05/19,9
2020/05/20,5
2020/05/21,21
2020/05/22,3
2020/05/23,7
2020/05/24,2
2020/05/25,10
2020/05/26,3
2020/05/27,2
2020/05/28,23
2020/05/29,5
2020/05/30,1
2020/05/31,3
2020/06/01,1
2020/06/02,4
2020/06/03,1
2020/06/04,2
2020/06/05,10
2020/06/06,0
2020/06/07,7
2020/06/08,4
2020/06/09,7
2020/06/10,0
2020/06/11,6
2020/06/12,11
2020/06/13,1
2020/06/14,6
2020/06/15,17
2020/06/16,1
2020/06/17,1
2020/06/18,12
2020/06/19,3
2020/06/20,6
2020/06/21,4
2020/06/22,1
2020/06/23,1
2020/06/24,0
2020/06/25,6
2020/06/26,7
2020/06/27,0
2020/06/28,2
2020/06/29,0
2020/06/30,0
2020/07/01,0
2020/07/02,2
2020/07/03,3
2020/07/04,2
2020/07/05,0
2020/07/06,0
2020/07/07,1
2020/07/08,1
2020/07/09,1
2020/07/10,1
2020/07/11,0
2020/07/12,0
2020/07/13,0
2020/07/14,0
2020/07/15,1
2020/07/16,1
2020/07/17,0
2020/07/18,2
2020/07/19,0
2020/07/20,0
2020/07/21,3
2020/07/22,1
2020/07/23,0
2020/07/24,0
2020/07/25,0
2020/07/26,2
2020/07/27,0
2020/07/28,1
2020/07/29,0
2020/07/30,1
2020/07/31,0
2020/08/01,1
2020/08/02,1
2020/08/03,0
2020/08/04,1
2020/08/05,0
2020/08/06,0
2020/08/07,2
2020/08/08,1
2020/08/09,0
2020/08/10,0
2020/08/11,1
2020/08/12,1
2020/08/13,1
2020/08/14,1
2020/08/15,2
2020/08/16,1
2020/08/17,0
2020/08/18,0
2020/08/19,2
2020/08/20,3
2020/08/21,1
2020/08/22,2
2020/08/23,0
2020/08/24,0
2020/08/25,1
2020/08/26,1
2020/08/27,1
2020/08/28,2
2020/08/29,0
2020/08/30,0
2020/08/31,1
2020/09/01,0
2020/09/02,0
2020/09/03,0
2020/09/04,1
2020/09/05,0
2020/09/06,2
2020/09/07,0
2020/09/08,2
2020/09/09,3
2020/09/10,4
2020/09/11,0
2020/09/12,0
2020/09/13,2
2020/09/14,0
2020/09/15,1
2020/09/16,0
2020/09/17,1
2020/09/18,1
2020/09/19,4
2020/09/20,4
2020/09/21,2
2020/09/22,2
2020/09/23,0
2020/09/24,6
2020/09/25,2
2020/09/26,3
2020/09/27,1
2020/09/28,0
2020/09/29,8
2020/09/30,4
2020/10/01,1
2020/10/02,2
2020/10/03,20
2020/10/04,2
2020/10/05,3
2020/10/06,8
2020/10/07,4
2020/10/08,21
2020/10/09,6
2020/10/10,6
2020/10/11,11
2020/10/12,4
2020/10/13,10
2020/10/14,14
2020/10/15,22
2020/10/16,16
2020/10/17,37
2020/10/18,23
2020/10/19,17
2020/10/20,33
2020/10/21,31
2020/10/22,95
2020/10/23,44
2020/10/24,86
2020/10/25,11
2020/10/26,35
2020/10/27,107
2020/10/28,55
2020/10/29,176
2020/10/30,98
2020/10/31,133
2020/11/01,77
2020/11/02,13
2020/11/03,150
2020/11/04,135
2020/11/05,115
2020/11/06,94
2020/11/07,135
2020/11/08,114
2020/11/09,73
2020/11/10,152
2020/11/11,63
2020/11/12,153
2020/11/13,52
2020/11/14,131
2020/11/15,92
2020/11/16,11
2020/11/17,508
2020/11/18,37
2020/11/19,186
2020/11/20,390
2020/11/21,67
2020/11/22,218
2020/11/23,33
2020/11/24,67
2020/11/25,177
2020/11/26,121
2020/11/27,110
2020/11/28,63
2020/11/29,174
2020/11/30,27
2020/12/01,41
2020/12/02,192
2020/12/03,95
2020/12/04,82
2020/12/05,173
2020/12/06,125
2020/12/07,13
2020/12/08,74
2020/12/09,2
2020/12/10,17
2020/12/11,77
2020/12/12,125
2020/12/13,79
2020/12/14,8
2020/12/15,68
2020/12/16,60
2020/12/17,15
2020/12/18,134
2020/12/19,56
2020/12/20,56
2020/12/21,1
2020/12/22,60
2020/12/23,77
2020/12/24,76
2020/12/25,53
2020/12/26,10
2020/12/27,45
2020/12/28,1
2020/12/29,42
2020/12/30,51
2020/12/31,124
2021/01/01,64
2021/01/02,11
2021/01/03,47
2021/01/04,0
2021/01/05,70
2021/01/06,77
2021/01/07,17
2021/01/08,123
2021/01/09,70
2021/01/10,78
2021/01/11,6
2021/01/12,52
2021/01/13,40
2021/01/14,97
2021/01/15,53
2021/01/16,67
2021/01/17,56
2021/01/18,5
2021/01/19,54
2021/01/20,55
2021/01/21,60
2021/01/22,57
2021/01/23,53
2021/01/24,34
2021/01/25,2
2021/01/26,53
2021/01/27,52
2021/01/28,68
2021/01/29,50
2021/01/30,54
2021/01/31,32
2021/02/01,1
2021/02/02,50
2021/02/03,34
2021/02/04,23
2021/02/05,77
2021/02/06,37
2021/02/07,27
2021/02/08,0
2021/02/09,10
2021/02/10,46
2021/02/11,41
2021/02/12,10
2021/02/13,37
2021/02/14,44
2021/02/15,1
2021/02/16,13
2021/02/17,43
2021/02/18,10
2021/02/19,24
2021/02/20,39
2021/02/21,70
2021/02/22,0
2021/02/23,39
2021/02/24,11
2021/02/25,31
2021/02/26,68
2021/02/27,37
2021/02/28,61
2021/03/01,0
2021/03/02,34
2021/03/03,83
2021/03/04,72
2021/03/05,54
2021/03/06,29
2021/03/07,51
2021/03/08,65
2021/03/09,86
2021/03/10,58
2021/03/11,107
2021/03/12,96
2021/03/13,90
2021/03/14,14
2021/03/15,10
2021/03/16,148
2021/03/17,72
2021/03/18,148
2021/03/19,92
2021/03/20,94
2021/03/21,78
2021/03/22,45
2021/03/23,25
2021/03/24,88
2021/03/25,106
2021/03/26,66
2021/03/27,97
2021/03/28,95
2021/03/29,40
2021/03/30,24
2021/03/31,75
2021/04/01,74
2021/04/02,63
2021/04/03,74
2021/04/04,66
2021/04/05,49
2021/04/06,5
2021/04/07,45
2021/04/08,59
2021/04/09,108
2021/04/10,56
2021/04/11,69
2021/04/12,36
2021/04/13,10
2021/04/14,57
2021/04/15,65
2021/04/16,52
2021/04/17,29
2021/04/18,40
