Datas,Torino
2020/02/25,3
2020/02/26,0
2020/02/27,-1
2020/02/28,9
2020/02/29,0
2020/03/01,38
2020/03/02,-43
2020/03/03,1
2020/03/04,4
2020/03/05,8
2020/03/06,15
2020/03/07,21
2020/03/08,34
2020/03/09,-2
2020/03/10,24
2020/03/11,48
2020/03/12,28
2020/03/13,118
2020/03/14,0
2020/03/15,54
2020/03/16,183
2020/03/17,207
2020/03/18,293
2020/03/19,0
2020/03/20,514
2020/03/21,124
2020/03/22,309
2020/03/23,209
2020/03/24,298
2020/03/25,317
2020/03/26,295
2020/03/27,253
2020/03/28,297
2020/03/29,275
2020/03/30,217
2020/03/31,305
2020/04/01,256
2020/04/02,280
2020/04/03,304
2020/04/04,477
2020/04/05,213
2020/04/06,195
2020/04/07,195
2020/04/08,220
2020/04/09,330
2020/04/10,301
2020/04/11,379
2020/04/12,334
2020/04/13,190
2020/04/14,210
2020/04/15,317
2020/04/16,460
2020/04/17,387
2020/04/18,288
2020/04/19,353
2020/04/20,134
2020/04/21,332
2020/04/22,414
2020/04/23,217
2020/04/24,374
2020/04/25,321
2020/04/26,263
2020/04/27,125
2020/04/28,240
2020/04/29,275
2020/04/30,259
2020/05/01,213
2020/05/02,292
2020/05/03,191
2020/05/04,122
2020/05/05,102
2020/05/06,98
2020/05/07,88
2020/05/08,116
2020/05/09,108
2020/05/10,66
2020/05/11,66
2020/05/12,71
2020/05/13,88
2020/05/14,88
2020/05/15,89
2020/05/16,84
2020/05/17,45
2020/05/18,43
2020/05/19,53
2020/05/20,116
2020/05/21,57
2020/05/22,55
2020/05/23,33
2020/05/24,17
2020/05/25,14
2020/05/26,47
2020/05/27,38
2020/05/28,29
2020/05/29,32
2020/05/30,28
2020/05/31,20
2020/06/01,12
2020/06/02,25
2020/06/03,9
2020/06/04,9
2020/06/05,12
2020/06/06,22
2020/06/07,4
2020/06/08,7
2020/06/09,7
2020/06/10,8
2020/06/11,29
2020/06/12,16
2020/06/13,10
2020/06/14,14
2020/06/15,1
2020/06/16,11
2020/06/17,17
2020/06/18,5
2020/06/19,7
2020/06/20,8
2020/06/21,10
2020/06/22,5
2020/06/23,3
2020/06/24,7
2020/06/25,5
2020/06/26,5
2020/06/27,5
2020/06/28,2
2020/06/29,1
2020/06/30,6
2020/07/01,5
2020/07/02,9
2020/07/03,2
2020/07/04,4
2020/07/05,5
2020/07/06,1
2020/07/07,0
2020/07/08,7
2020/07/09,6
2020/07/10,2
2020/07/11,1
2020/07/12,3
2020/07/13,4
2020/07/14,1
2020/07/15,0
2020/07/16,1
2020/07/17,8
2020/07/18,2
2020/07/19,3
2020/07/20,0
2020/07/21,3
2020/07/22,1
2020/07/23,4
2020/07/24,1
2020/07/25,4
2020/07/26,3
2020/07/27,2
2020/07/28,5
2020/07/29,6
2020/07/30,0
2020/07/31,1
2020/08/01,6
2020/08/02,5
2020/08/03,3
2020/08/04,1
