Datas,Trento
2020/02/25,0
2020/02/26,0
2020/02/27,0
2020/02/28,0
2020/02/29,0
2020/03/01,0
2020/03/02,0
2020/03/03,4
2020/03/04,1
2020/03/05,2
2020/03/06,3
2020/03/07,4
2020/03/08,9
2020/03/09,10
2020/03/10,19
2020/03/11,25
2020/03/12,30
2020/03/13,56
2020/03/14,43
2020/03/15,172
2020/03/16,0
2020/03/17,7
2020/03/18,70
2020/03/19,68
2020/03/20,119
2020/03/21,140
2020/03/22,172
2020/03/23,69
2020/03/24,87
2020/03/25,112
2020/03/26,75
2020/03/27,94
2020/03/28,114
2020/03/29,89
2020/03/30,88
2020/03/31,64
2020/04/01,124
2020/04/02,133
2020/04/03,106
2020/04/04,111
2020/04/05,65
2020/04/06,63
2020/04/07,128
2020/04/08,126
2020/04/09,106
2020/04/10,108
2020/04/11,154
2020/04/12,83
2020/04/13,73
2020/04/14,15
2020/04/15,79
2020/04/16,74
2020/04/17,82
2020/04/18,55
2020/04/19,101
2020/04/20,58
2020/04/21,24
2020/04/22,32
2020/04/23,81
2020/04/24,49
2020/04/25,62
2020/04/26,56
2020/04/27,101
2020/04/28,30
2020/04/29,44
2020/04/30,47
2020/05/01,16
2020/05/02,49
2020/05/03,66
2020/05/04,11
2020/05/05,3
2020/05/06,19
2020/05/07,3
2020/05/08,2
2020/05/09,7
2020/05/10,3
2020/05/11,2
2020/05/12,6
2020/05/13,9
2020/05/14,3
2020/05/15,3
2020/05/16,8
2020/05/17,12
2020/05/18,13
2020/05/19,7
2020/05/20,10
2020/05/21,10
2020/05/22,10
2020/05/23,7
2020/05/24,9
2020/05/25,1
2020/05/26,10
2020/05/27,7
2020/05/28,3
2020/05/29,3
2020/05/30,1
2020/05/31,1
2020/06/01,2
2020/06/02,0
2020/06/03,1
2020/06/04,0
2020/06/05,0
2020/06/06,1
2020/06/07,1
2020/06/08,1
2020/06/09,3
2020/06/10,0
2020/06/11,2
2020/06/12,2
2020/06/13,3
2020/06/14,1
2020/06/15,1
2020/06/16,0
2020/06/17,1
2020/06/18,8
2020/06/19,1
2020/06/20,0
2020/06/21,5
2020/06/22,1
2020/06/23,1
2020/06/24,387
2020/06/25,3
2020/06/26,4
2020/06/27,1
2020/06/28,3
2020/06/29,0
2020/06/30,0
2020/07/01,1
2020/07/02,1
2020/07/03,6
2020/07/04,2
2020/07/05,0
