Datas,Treviso
2020/02/25,1
2020/02/26,1
2020/02/27,20
2020/02/28,1
2020/02/29,12
2020/03/01,8
2020/03/02,29
2020/03/03,10
2020/03/04,4
2020/03/05,3
2020/03/06,14
2020/03/07,7
2020/03/08,16
2020/03/09,10
2020/03/10,22
2020/03/11,27
2020/03/12,94
2020/03/13,48
2020/03/14,49
2020/03/15,37
2020/03/16,39
2020/03/17,50
2020/03/18,89
2020/03/19,46
2020/03/20,82
2020/03/21,87
2020/03/22,129
2020/03/23,64
2020/03/24,92
2020/03/25,86
2020/03/26,77
2020/03/27,56
2020/03/28,49
2020/03/29,43
2020/03/30,47
2020/03/31,73
2020/04/01,32
2020/04/02,52
2020/04/03,51
2020/04/04,30
2020/04/05,25
2020/04/06,14
2020/04/07,12
2020/04/08,125
2020/04/09,43
2020/04/10,38
2020/04/11,29
2020/04/12,10
2020/04/13,0
2020/04/14,49
2020/04/15,1
2020/04/16,102
2020/04/17,102
2020/04/18,63
2020/04/19,15
2020/04/20,10
2020/04/21,26
2020/04/22,35
2020/04/23,9
2020/04/24,25
2020/04/25,19
2020/04/26,14
2020/04/27,23
2020/04/28,7
2020/04/29,4
2020/04/30,24
2020/05/01,7
2020/05/02,21
2020/05/03,12
2020/05/04,6
2020/05/05,3
2020/05/06,3
2020/05/07,2
2020/05/08,23
2020/05/09,19
2020/05/10,0
2020/05/11,2
2020/05/12,4
2020/05/13,5
2020/05/14,3
2020/05/15,4
2020/05/16,10
2020/05/17,2
2020/05/18,4
2020/05/19,3
2020/05/20,4
2020/05/21,2
2020/05/22,1
2020/05/23,3
2020/05/24,1
2020/05/25,0
2020/05/26,1
2020/05/27,0
2020/05/28,1
2020/05/29,0
2020/05/30,1
2020/05/31,0
2020/06/01,0
2020/06/02,0
2020/06/03,1
2020/06/04,0
2020/06/05,2
2020/06/06,2
2020/06/07,0
2020/06/08,2
2020/06/09,0
2020/06/10,0
2020/06/11,1
2020/06/12,-1
2020/06/13,1
2020/06/14,0
2020/06/15,0
2020/06/16,-1
2020/06/17,1
2020/06/18,0
2020/06/19,0
2020/06/20,1
2020/06/21,0
2020/06/22,2
2020/06/23,0
2020/06/24,0
2020/06/25,1
2020/06/26,0
2020/06/27,-1
2020/06/28,3
2020/06/29,0
2020/06/30,1
2020/07/01,0
2020/07/02,10
2020/07/03,3
2020/07/04,1
2020/07/05,0
2020/07/06,0
2020/07/07,1
2020/07/08,2
2020/07/09,2
2020/07/10,0
2020/07/11,4
2020/07/12,1
2020/07/13,0
2020/07/14,10
2020/07/15,8
2020/07/16,2
2020/07/17,3
2020/07/18,10
2020/07/19,2
2020/07/20,0
2020/07/21,6
2020/07/22,0
2020/07/23,-1
2020/07/24,3
2020/07/25,9
2020/07/26,0
2020/07/27,0
