Datas,Trieste
2020/02/25,0
2020/02/26,0
2020/02/27,0
2020/02/28,0
2020/02/29,0
2020/03/01,6
2020/03/02,3
2020/03/03,-7
2020/03/04,3
2020/03/05,0
2020/03/06,2
2020/03/07,4
2020/03/08,14
2020/03/09,0
2020/03/10,28
2020/03/11,4
2020/03/12,0
2020/03/13,74
2020/03/14,17
2020/03/15,-8
2020/03/16,24
2020/03/17,13
2020/03/18,3
2020/03/19,28
2020/03/20,8
2020/03/21,54
2020/03/22,27
2020/03/23,23
2020/03/24,9
2020/03/25,26
2020/03/26,30
2020/03/27,26
2020/03/28,41
2020/03/29,24
2020/03/30,18
2020/03/31,51
2020/04/01,30
2020/04/02,23
2020/04/03,31
2020/04/04,22
2020/04/05,19
2020/04/06,38
2020/04/07,25
2020/04/08,30
2020/04/09,58
2020/04/10,36
2020/04/11,15
2020/04/12,18
2020/04/13,26
2020/04/14,29
2020/04/15,16
2020/04/16,50
2020/04/17,56
2020/04/18,35
2020/04/19,6
2020/04/20,14
2020/04/21,3
2020/04/22,11
2020/04/23,16
2020/04/24,12
2020/04/25,13
2020/04/26,4
2020/04/27,46
2020/04/28,10
2020/04/29,8
2020/04/30,7
2020/05/01,4
2020/05/02,15
2020/05/03,10
2020/05/04,3
2020/05/05,8
2020/05/06,6
2020/05/07,2
2020/05/08,6
2020/05/09,5
2020/05/10,5
2020/05/11,6
2020/05/12,6
2020/05/13,1
2020/05/14,3
2020/05/15,9
2020/05/16,4
2020/05/17,3
2020/05/18,6
2020/05/19,3
2020/05/20,4
2020/05/21,4
2020/05/22,3
2020/05/23,4
2020/05/24,2
2020/05/25,3
2020/05/26,0
2020/05/27,1
2020/05/28,6
2020/05/29,1
2020/05/30,2
2020/05/31,1
2020/06/01,0
2020/06/02,0
2020/06/03,0
2020/06/04,1
2020/06/05,0
2020/06/06,0
2020/06/07,0
2020/06/08,1
2020/06/09,0
2020/06/10,0
2020/06/11,0
2020/06/12,1
2020/06/13,2
2020/06/14,0
2020/06/15,0
2020/06/16,0
2020/06/17,0
2020/06/18,0
2020/06/19,0
2020/06/20,0
2020/06/21,0
2020/06/22,0
2020/06/23,0
2020/06/24,0
2020/06/25,0
2020/06/26,0
2020/06/27,0
2020/06/28,0
2020/06/29,0
2020/06/30,0
2020/07/01,0
2020/07/02,1
2020/07/03,3
2020/07/04,3
