Datas,Udine
2020/02/25,0
2020/02/26,0
2020/02/27,0
2020/02/28,0
2020/02/29,0
2020/03/01,0
2020/03/02,0
2020/03/03,8
2020/03/04,0
2020/03/05,3
2020/03/06,7
2020/03/07,5
2020/03/08,1
2020/03/09,0
2020/03/10,2
2020/03/11,18
2020/03/12,0
2020/03/13,31
2020/03/14,13
2020/03/15,41
2020/03/16,23
2020/03/17,-7
2020/03/18,36
2020/03/19,85
2020/03/20,30
2020/03/21,42
2020/03/22,23
2020/03/23,24
2020/03/24,20
2020/03/25,26
2020/03/26,29
2020/03/27,27
2020/03/28,43
2020/03/29,6
2020/03/30,-12
2020/03/31,12
2020/04/01,40
2020/04/02,65
2020/04/03,40
2020/04/04,73
2020/04/05,32
2020/04/06,7
2020/04/07,20
2020/04/08,17
2020/04/09,9
2020/04/10,6
2020/04/11,20
2020/04/12,8
2020/04/13,11
2020/04/14,6
2020/04/15,1
2020/04/16,4
2020/04/17,2
2020/04/18,9
2020/04/19,4
2020/04/20,5
2020/04/21,6
2020/04/22,8
2020/04/23,2
2020/04/24,4
2020/04/25,2
2020/04/26,1
2020/04/27,6
2020/04/28,5
2020/04/29,2
2020/04/30,0
2020/05/01,2
2020/05/02,1
2020/05/03,3
2020/05/04,0
2020/05/05,1
2020/05/06,1
2020/05/07,8
2020/05/08,0
2020/05/09,1
2020/05/10,0
2020/05/11,2
2020/05/12,0
2020/05/13,1
2020/05/14,1
2020/05/15,1
2020/05/16,0
2020/05/17,0
2020/05/18,0
2020/05/19,0
2020/05/20,1
2020/05/21,1
2020/05/22,4
2020/05/23,0
2020/05/24,1
2020/05/25,0
2020/05/26,1
2020/05/27,0
2020/05/28,0
2020/05/29,1
2020/05/30,0
2020/05/31,1
2020/06/01,1
2020/06/02,2
2020/06/03,0
2020/06/04,1
2020/06/05,1
2020/06/06,1
2020/06/07,0
2020/06/08,0
2020/06/09,0
2020/06/10,2
2020/06/11,0
2020/06/12,1
2020/06/13,1
2020/06/14,0
2020/06/15,0
2020/06/16,0
2020/06/17,1
2020/06/18,1
2020/06/19,1
2020/06/20,1
2020/06/21,0
2020/06/22,0
2020/06/23,0
2020/06/24,0
2020/06/25,0
2020/06/26,0
2020/06/27,0
2020/06/28,0
2020/06/29,0
2020/06/30,0
2020/07/01,1
2020/07/02,0
2020/07/03,0
2020/07/04,3
