Datas,Varese
2020/02/25,0
2020/02/26,0
2020/02/27,0
2020/02/28,3
2020/02/29,1
2020/03/01,0
2020/03/02,0
2020/03/03,3
2020/03/04,4
2020/03/05,6
2020/03/06,6
2020/03/07,4
2020/03/08,5
2020/03/09,12
2020/03/10,6
2020/03/11,25
2020/03/12,23
2020/03/13,27
2020/03/14,33
2020/03/15,26
2020/03/16,18
2020/03/17,32
2020/03/18,31
2020/03/19,45
2020/03/20,28
2020/03/21,21
2020/03/22,27
2020/03/23,35
2020/03/24,29
2020/03/25,18
2020/03/26,34
2020/03/27,209
2020/03/28,57
2020/03/29,44
2020/03/30,54
2020/03/31,27
2020/04/01,44
2020/04/02,65
2020/04/03,83
2020/04/04,63
2020/04/05,43
2020/04/06,102
2020/04/07,33
2020/04/08,22
2020/04/09,143
2020/04/10,98
2020/04/11,44
2020/04/12,30
2020/04/13,48
2020/04/14,102
2020/04/15,71
2020/04/16,69
2020/04/17,68
2020/04/18,85
2020/04/19,52
2020/04/20,38
2020/04/21,55
2020/04/22,51
2020/04/23,38
2020/04/24,36
2020/04/25,31
2020/04/26,60
2020/04/27,29
2020/04/28,72
2020/04/29,51
2020/04/30,48
2020/05/01,38
2020/05/02,10
2020/05/03,68
2020/05/04,55
2020/05/05,53
2020/05/06,127
2020/05/07,55
2020/05/08,75
2020/05/09,16
2020/05/10,18
2020/05/11,14
2020/05/12,77
2020/05/13,29
2020/05/14,20
2020/05/15,13
2020/05/16,41
2020/05/17,3
2020/05/18,13
2020/05/19,9
2020/05/20,12
2020/05/21,10
2020/05/22,23
2020/05/23,44
2020/05/24,16
2020/05/25,5
2020/05/26,9
2020/05/27,17
2020/05/28,12
2020/05/29,41
2020/05/30,4
2020/05/31,25
2020/06/01,3
2020/06/02,10
2020/06/03,5
2020/06/04,6
2020/06/05,28
2020/06/06,3
2020/06/07,19
2020/06/08,7
2020/06/09,14
2020/06/10,10
2020/06/11,12
2020/06/12,14
2020/06/13,5
2020/06/14,27
2020/06/15,19
2020/06/16,22
2020/06/17,6
2020/06/18,13
2020/06/19,7
2020/06/20,5
2020/06/21,3
2020/06/22,18
2020/06/23,2
2020/06/24,0
2020/06/25,1
2020/06/26,8
2020/06/27,10
2020/06/28,3
2020/06/29,5
2020/06/30,3
2020/07/01,1
2020/07/02,5
2020/07/03,4
2020/07/04,0
2020/07/05,3
