Datas,Verbano-Cusio-Ossola
2020/02/25,0
2020/02/26,0
2020/02/27,0
2020/02/28,0
2020/02/29,0
2020/03/01,0
2020/03/02,4
2020/03/03,0
2020/03/04,1
2020/03/05,0
2020/03/06,4
2020/03/07,1
2020/03/08,3
2020/03/09,-2
2020/03/10,0
2020/03/11,2
2020/03/12,5
2020/03/13,11
2020/03/14,7
2020/03/15,14
2020/03/16,8
2020/03/17,18
2020/03/18,13
2020/03/19,0
2020/03/20,53
2020/03/21,7
2020/03/22,10
2020/03/23,31
2020/03/24,39
2020/03/25,18
2020/03/26,8
2020/03/27,33
2020/03/28,20
2020/03/29,38
2020/03/30,30
2020/03/31,17
2020/04/01,17
2020/04/02,34
2020/04/03,61
2020/04/04,30
2020/04/05,21
2020/04/06,63
2020/04/07,11
2020/04/08,89
2020/04/09,55
2020/04/10,16
2020/04/11,69
2020/04/12,6
2020/04/13,11
2020/04/14,17
2020/04/15,11
2020/04/16,6
2020/04/17,7
2020/04/18,4
2020/04/19,14
2020/04/20,2
2020/04/21,8
2020/04/22,6
2020/04/23,11
2020/04/24,8
2020/04/25,19
2020/04/26,3
2020/04/27,4
2020/04/28,3
2020/04/29,6
2020/04/30,0
2020/05/01,17
2020/05/02,21
2020/05/03,10
2020/05/04,12
2020/05/05,2
2020/05/06,1
2020/05/07,1
2020/05/08,1
2020/05/09,5
2020/05/10,6
2020/05/11,12
2020/05/12,4
2020/05/13,1
2020/05/14,1
2020/05/15,-6
2020/05/16,7
2020/05/17,0
2020/05/18,0
2020/05/19,0
2020/05/20,0
2020/05/21,1
2020/05/22,1
2020/05/23,1
2020/05/24,1
2020/05/25,0
2020/05/26,2
2020/05/27,2
2020/05/28,1
2020/05/29,-1
2020/05/30,0
2020/05/31,0
2020/06/01,0
2020/06/02,3
2020/06/03,0
2020/06/04,0
2020/06/05,0
2020/06/06,0
2020/06/07,0
2020/06/08,0
2020/06/09,0
2020/06/10,2
2020/06/11,1
2020/06/12,2
2020/06/13,0
2020/06/14,0
2020/06/15,0
2020/06/16,1
2020/06/17,1
2020/06/18,1
2020/06/19,3
2020/06/20,2
2020/06/21,1
2020/06/22,0
2020/06/23,0
2020/06/24,1
2020/06/25,7
2020/06/26,3
2020/06/27,2
2020/06/28,0
2020/06/29,0
2020/06/30,2
2020/07/01,1
2020/07/02,0
2020/07/03,0
