Datas,Vercelli
2020/02/25,0
2020/02/26,0
2020/02/27,0
2020/02/28,0
2020/02/29,0
2020/03/01,0
2020/03/02,1
2020/03/03,0
2020/03/04,2
2020/03/05,5
2020/03/06,-1
2020/03/07,3
2020/03/08,5
2020/03/09,-4
2020/03/10,7
2020/03/11,6
2020/03/12,1
2020/03/13,4
2020/03/14,2
2020/03/15,53
2020/03/16,15
2020/03/17,14
2020/03/18,18
2020/03/19,0
2020/03/20,72
2020/03/21,7
2020/03/22,32
2020/03/23,21
2020/03/24,27
2020/03/25,18
2020/03/26,28
2020/03/27,22
2020/03/28,39
2020/03/29,29
2020/03/30,23
2020/03/31,24
2020/04/01,15
2020/04/02,32
2020/04/03,45
2020/04/04,18
2020/04/05,22
2020/04/06,42
2020/04/07,18
2020/04/08,13
2020/04/09,15
2020/04/10,15
2020/04/11,81
2020/04/12,28
2020/04/13,13
2020/04/14,9
2020/04/15,8
2020/04/16,65
2020/04/17,23
2020/04/18,29
2020/04/19,11
2020/04/20,9
2020/04/21,5
2020/04/22,24
2020/04/23,43
2020/04/24,11
2020/04/25,8
2020/04/26,15
2020/04/27,3
2020/04/28,2
2020/04/29,4
2020/04/30,8
2020/05/01,10
2020/05/02,23
2020/05/03,3
2020/05/04,2
2020/05/05,4
2020/05/06,3
2020/05/07,8
2020/05/08,8
2020/05/09,11
2020/05/10,6
2020/05/11,15
2020/05/12,5
2020/05/13,6
2020/05/14,15
2020/05/15,9
2020/05/16,9
2020/05/17,4
2020/05/18,2
2020/05/19,4
2020/05/20,7
2020/05/21,2
2020/05/22,4
2020/05/23,0
2020/05/24,3
2020/05/25,10
2020/05/26,8
2020/05/27,0
2020/05/28,6
2020/05/29,1
2020/05/30,5
2020/05/31,4
2020/06/01,0
2020/06/02,1
2020/06/03,2
2020/06/04,0
2020/06/05,1
2020/06/06,1
2020/06/07,0
2020/06/08,0
2020/06/09,0
2020/06/10,0
2020/06/11,0
2020/06/12,3
2020/06/13,2
2020/06/14,2
2020/06/15,0
2020/06/16,0
2020/06/17,-1
2020/06/18,2
2020/06/19,1
2020/06/20,0
2020/06/21,1
2020/06/22,0
2020/06/23,0
2020/06/24,1
2020/06/25,1
2020/06/26,0
2020/06/27,0
2020/06/28,1
2020/06/29,0
2020/06/30,1
2020/07/01,0
2020/07/02,0
2020/07/03,0
2020/07/04,1
