Datas,Verona
2020/02/25,0
2020/02/26,0
2020/02/27,0
2020/02/28,0
2020/02/29,0
2020/03/01,2
2020/03/02,6
2020/03/03,9
2020/03/04,4
2020/03/05,4
2020/03/06,17
2020/03/07,10
2020/03/08,11
2020/03/09,10
2020/03/10,23
2020/03/11,14
2020/03/12,40
2020/03/13,60
2020/03/14,65
2020/03/15,60
2020/03/16,90
2020/03/17,56
2020/03/18,145
2020/03/19,60
2020/03/20,98
2020/03/21,170
2020/03/22,92
2020/03/23,53
2020/03/24,129
2020/03/25,76
2020/03/26,98
2020/03/27,243
2020/03/28,109
2020/03/29,122
2020/03/30,106
2020/03/31,130
2020/04/01,175
2020/04/02,118
2020/04/03,83
2020/04/04,59
2020/04/05,141
2020/04/06,67
2020/04/07,101
2020/04/08,64
2020/04/09,129
2020/04/10,208
2020/04/11,145
2020/04/12,93
2020/04/13,52
2020/04/14,25
2020/04/15,77
2020/04/16,81
2020/04/17,75
2020/04/18,75
2020/04/19,94
2020/04/20,24
2020/04/21,72
2020/04/22,94
2020/04/23,58
2020/04/24,176
2020/04/25,75
2020/04/26,19
2020/04/27,34
2020/04/28,30
2020/04/29,71
2020/04/30,39
2020/05/01,43
2020/05/02,62
2020/05/03,29
2020/05/04,21
2020/05/05,10
2020/05/06,29
2020/05/07,37
2020/05/08,20
2020/05/09,17
2020/05/10,10
2020/05/11,2
2020/05/12,11
2020/05/13,10
2020/05/14,11
2020/05/15,19
2020/05/16,5
2020/05/17,4
2020/05/18,2
2020/05/19,32
2020/05/20,16
2020/05/21,-3
2020/05/22,10
2020/05/23,6
2020/05/24,6
2020/05/25,2
2020/05/26,2
2020/05/27,0
2020/05/28,8
2020/05/29,6
2020/05/30,5
2020/05/31,1
2020/06/01,0
2020/06/02,1
2020/06/03,0
2020/06/04,1
2020/06/05,2
2020/06/06,3
2020/06/07,-1
2020/06/08,0
2020/06/09,1
2020/06/10,1
2020/06/11,0
2020/06/12,2
2020/06/13,1
2020/06/14,0
2020/06/15,0
2020/06/16,2
2020/06/17,1
2020/06/18,5
2020/06/19,0
2020/06/20,1
2020/06/21,2
2020/06/22,0
2020/06/23,1
2020/06/24,1
2020/06/25,0
2020/06/26,1
2020/06/27,0
2020/06/28,2
2020/06/29,0
2020/06/30,1
2020/07/01,1
2020/07/02,1
2020/07/03,0
2020/07/04,0
