Datas,Vicenza
2020/02/25,0
2020/02/26,0
2020/02/27,3
2020/02/28,0
2020/02/29,0
2020/03/01,0
2020/03/02,0
2020/03/03,2
2020/03/04,5
2020/03/05,9
2020/03/06,5
2020/03/07,13
2020/03/08,13
2020/03/09,3
2020/03/10,20
2020/03/11,19
2020/03/12,30
2020/03/13,19
2020/03/14,23
2020/03/15,71
2020/03/16,52
2020/03/17,38
2020/03/18,68
2020/03/19,31
2020/03/20,94
2020/03/21,54
2020/03/22,59
2020/03/23,60
2020/03/24,53
2020/03/25,80
2020/03/26,75
2020/03/27,67
2020/03/28,70
2020/03/29,68
2020/03/30,64
2020/03/31,74
2020/04/01,85
2020/04/02,107
2020/04/03,80
2020/04/04,94
2020/04/05,39
2020/04/06,57
2020/04/07,30
2020/04/08,48
2020/04/09,103
2020/04/10,68
2020/04/11,56
2020/04/12,46
2020/04/13,25
2020/04/14,9
2020/04/15,47
2020/04/16,34
2020/04/17,30
2020/04/18,96
2020/04/19,43
2020/04/20,40
2020/04/21,11
2020/04/22,43
2020/04/23,21
2020/04/24,29
2020/04/25,53
2020/04/26,18
2020/04/27,17
2020/04/28,25
2020/04/29,20
2020/04/30,28
2020/05/01,36
2020/05/02,21
2020/05/03,12
2020/05/04,6
2020/05/05,3
2020/05/06,10
2020/05/07,11
2020/05/08,5
2020/05/09,8
2020/05/10,16
2020/05/11,1
2020/05/12,14
2020/05/13,2
2020/05/14,6
2020/05/15,13
2020/05/16,6
2020/05/17,2
2020/05/18,2
2020/05/19,6
2020/05/20,6
2020/05/21,1
2020/05/22,1
2020/05/23,0
2020/05/24,2
2020/05/25,0
2020/05/26,1
2020/05/27,4
2020/05/28,4
2020/05/29,2
2020/05/30,0
2020/05/31,1
2020/06/01,0
2020/06/02,3
2020/06/03,0
2020/06/04,-1
2020/06/05,3
2020/06/06,0
2020/06/07,1
2020/06/08,0
2020/06/09,0
2020/06/10,0
2020/06/11,3
2020/06/12,0
2020/06/13,0
2020/06/14,0
2020/06/15,0
2020/06/16,0
2020/06/17,0
2020/06/18,1
2020/06/19,0
2020/06/20,0
2020/06/21,2
2020/06/22,0
2020/06/23,1
2020/06/24,1
2020/06/25,-1
2020/06/26,3
2020/06/27,0
2020/06/28,2
2020/06/29,1
2020/06/30,1
2020/07/01,1
2020/07/02,3
2020/07/03,0
2020/07/04,1
