Datas,Viterbo
2020/02/25,0
2020/02/26,0
2020/02/27,0
2020/02/28,0
2020/02/29,0
2020/03/01,0
2020/03/02,0
2020/03/03,0
2020/03/04,0
2020/03/05,0
2020/03/06,2
2020/03/07,0
2020/03/08,0
2020/03/09,0
2020/03/10,3
2020/03/11,5
2020/03/12,-5
2020/03/13,5
2020/03/14,3
2020/03/15,2
2020/03/16,12
2020/03/17,4
2020/03/18,8
2020/03/19,11
2020/03/20,13
2020/03/21,9
2020/03/22,10
2020/03/23,11
2020/03/24,28
2020/03/25,1
2020/03/26,0
2020/03/27,2
2020/03/28,20
2020/03/29,35
2020/03/30,2
2020/03/31,0
2020/04/01,12
2020/04/02,26
2020/04/03,7
2020/04/04,14
2020/04/05,3
2020/04/06,0
2020/04/07,19
2020/04/08,1
2020/04/09,15
2020/04/10,26
2020/04/11,9
2020/04/12,3
2020/04/13,2
2020/04/14,8
2020/04/15,0
2020/04/16,12
2020/04/17,8
2020/04/18,3
2020/04/19,0
2020/04/20,0
2020/04/21,6
2020/04/22,2
2020/04/23,9
2020/04/24,6
2020/04/25,4
2020/04/26,2
2020/04/27,5
2020/04/28,0
2020/04/29,2
2020/04/30,5
2020/05/01,1
2020/05/02,4
2020/05/03,1
2020/05/04,1
2020/05/05,4
2020/05/06,2
2020/05/07,0
2020/05/08,3
2020/05/09,0
2020/05/10,2
2020/05/11,1
2020/05/12,1
2020/05/13,0
2020/05/14,5
2020/05/15,1
2020/05/16,3
2020/05/17,2
2020/05/18,1
2020/05/19,-1
2020/05/20,2
2020/05/21,2
2020/05/22,1
2020/05/23,0
2020/05/24,0
2020/05/25,0
2020/05/26,1
2020/05/27,1
2020/05/28,0
2020/05/29,1
2020/05/30,1
2020/05/31,0
2020/06/01,0
2020/06/02,-1
2020/06/03,0
2020/06/04,0
2020/06/05,0
2020/06/06,0
2020/06/07,0
2020/06/08,0
2020/06/09,0
2020/06/10,0
2020/06/11,0
2020/06/12,0
2020/06/13,0
2020/06/14,0
2020/06/15,0
2020/06/16,-1
2020/06/17,0
2020/06/18,0
2020/06/19,0
2020/06/20,0
2020/06/21,0
2020/06/22,0
2020/06/23,1
2020/06/24,27
2020/06/25,1
2020/06/26,0
2020/06/27,0
2020/06/28,0
2020/06/29,0
2020/06/30,0
2020/07/01,0
2020/07/02,0
2020/07/03,0
2020/07/04,0
